recording,h_mm,n_trials,n_detected,n_correct,id_rate,median_cells,p25_cells,p75_cells,sphere_valid_pct,median_sphere_rmse,box_valid_pct,median_box_rmse,median_decision_margin
ball_static,20.0,504,504,504,1.0,10.0,9.0,11.0,100.0,1.436459318910265,0.0,nan,nan
ball_static,22.5,504,504,392,0.7777777777777778,9.0,8.0,9.0,77.97619047619048,1.4984612700011484,0.0,nan,nan
ball_static,25.0,504,504,186,0.36904761904761907,8.0,7.0,9.0,58.13492063492063,1.4268845524155591,0.0,nan,nan
ball_static,27.5,504,504,109,0.21626984126984128,6.0,6.0,8.0,30.158730158730158,1.5232482025550969,0.0,nan,nan
ball_static,30.0,504,504,19,0.037698412698412696,6.0,6.0,7.0,12.103174603174603,1.6115515621996126,0.0,nan,nan
box_static,20.0,468,468,440,0.9401709401709402,31.0,30.0,32.0,100.0,4.798486090809287,100.0,2.4167214741245493,1.8935113836237334
box_static,22.5,468,468,468,1.0,26.0,25.0,26.0,100.0,5.386292242491509,100.0,2.422389064898093,2.2459422977617858
box_static,25.0,468,468,388,0.8290598290598291,21.0,20.0,22.0,100.0,5.455833516387999,83.54700854700855,2.194933334019063,2.4904162042682376
box_static,27.5,468,468,78,0.16666666666666666,19.0,18.0,19.0,100.0,6.04836445788609,16.666666666666668,2.2845975401051275,2.6828131242959903
box_static,30.0,468,468,0,0.0,17.0,15.0,18.0,100.0,4.91873982153048,0.0,nan,nan
