recording,h_mm,sphere_valid_pct,box_valid_pct,median_sphere_rmse,median_box_rmse
ball_static,20.0,100.0,0.0,1.436459318910265,nan
ball_static,22.5,77.97619047619048,0.0,1.4984612700011484,nan
ball_static,25.0,58.13492063492063,0.0,1.4268845524155591,nan
ball_static,27.5,30.158730158730158,0.0,1.5232482025550969,nan
ball_static,30.0,12.103174603174603,0.0,1.6115515621996126,nan
box_static,20.0,100.0,100.0,4.798486090809287,2.4167214741245493
box_static,22.5,100.0,100.0,5.386292242491509,2.422389064898093
box_static,25.0,100.0,83.54700854700855,5.455833516387999,2.194933334019063
box_static,27.5,100.0,16.666666666666668,6.04836445788609,2.2845975401051275
box_static,30.0,100.0,0.0,4.91873982153048,nan
