k,W_dtype,b_dtype,W_bytes,b_bytes,raw_param_bytes,norm_state_bytes,total_inference_state_bytes,file_size_bytes
1,float64,float64,144,16,160,72,232,2164
1,THEORETICAL_float64,-,-,-,160,-,-,-
1,THEORETICAL_float32,-,-,-,80,-,-,-
1,THEORETICAL_int16,-,-,-,40,-,-,-
1,THEORETICAL_int8,-,-,-,20,-,-,-
3,float64,float64,144,16,160,72,232,2164
3,THEORETICAL_float64,-,-,-,160,-,-,-
3,THEORETICAL_float32,-,-,-,80,-,-,-
3,THEORETICAL_int16,-,-,-,40,-,-,-
3,THEORETICAL_int8,-,-,-,20,-,-,-
5,float64,float64,144,16,160,72,232,2164
5,THEORETICAL_float64,-,-,-,160,-,-,-
5,THEORETICAL_float32,-,-,-,80,-,-,-
5,THEORETICAL_int16,-,-,-,40,-,-,-
5,THEORETICAL_int8,-,-,-,20,-,-,-
10,float64,float64,144,16,160,72,232,2164
10,THEORETICAL_float64,-,-,-,160,-,-,-
10,THEORETICAL_float32,-,-,-,80,-,-,-
10,THEORETICAL_int16,-,-,-,40,-,-,-
10,THEORETICAL_int8,-,-,-,20,-,-,-
